15:57:20.940 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.ares.app.StartAppTests], using SpringBootContextLoader
15:57:20.956 [main] INFO  o.s.t.c.support.AbstractContextLoader - Could not detect default resource locations for test class [org.ares.app.StartAppTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:57:20.956 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [org.ares.app.StartAppTests]: StartAppTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:57:21.269 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration org.ares.app.StartApp for test class org.ares.app.StartAppTests
15:57:21.284 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
15:57:21.331 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@197d671, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@402e37bc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@79ad8b2f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1df82230, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22635ba0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@13c10b87, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a01e23, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@5a955565, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6293abcc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7995092a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7fc2413d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@f8c1ddd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@70be0a2b]
15:57:21.939 [main] INFO  org.ares.app.StartAppTests - Starting StartAppTests on srv-work with PID 10788 (started by Administrator in D:\java\work\sts_sp\c5g)
15:57:21.939 [main] INFO  org.ares.app.StartAppTests - No active profile set, falling back to default profiles: default
15:57:22.001 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@581ac8a8: startup date [Mon Jul 02 15:57:22 CST 2018]; root of context hierarchy
15:57:22.720 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
15:57:26.502 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@336206d8, org.springframework.security.web.context.SecurityContextPersistenceFilter@14fa92af, org.springframework.security.web.header.HeaderWriterFilter@4195105b, org.springframework.security.web.csrf.CsrfFilter@24db6ce, org.springframework.security.web.authentication.logout.LogoutFilter@5ec4ff02, org.springframework.security.web.authentication.logout.LogoutFilter@21c815e4, org.jasig.cas.client.session.SingleSignOutFilter@1f11f64e, org.springframework.security.cas.web.CasAuthenticationFilter@2b2f5fcf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@42ea287, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@339a3670, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d51e129, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@858d8b4, org.springframework.security.web.session.SessionManagementFilter@47ffe971, org.springframework.security.web.access.ExceptionTranslationFilter@31a3f4de, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@42373389]
15:57:27.191 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@581ac8a8: startup date [Mon Jul 02 15:57:22 CST 2018]; root of context hierarchy
15:57:27.363 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto public java.lang.String org.ares.app.c5.action.TestAction.index()
